authors,original_publication_year,original_title,title,average_rating,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url
Jeff Kinney,2012,The Third Wheel,"The Third Wheel (Diary of a Wimpy Kid, #7)",4.21,44607,1064,2154,7824,12319,25363,https://images.gr-assets.com/books/1366229038m/13563669.jpg
Elizabeth Wein,2012,Code Name Verity,"Code Name Verity (Code Name Verity, #1)",4.08,55139,1847,3375,10330,22216,27700,https://images.gr-assets.com/books/1388161911m/11925514.jpg
Ellen Hopkins,2006," Burned (Burned, #1)","Burned (Burned, #1)",4.24,48333,810,2073,7454,13804,26169,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Sidney Sheldon,1982,Master of the Game,Master of the Game,4.09,40111,364,1614,8555,15598,16908,https://images.gr-assets.com/books/1170095440m/43330.jpg
Patricia Cornwell,1994,The Body Farm,"The Body Farm (Kay Scarpetta, #5)",4.04,51115,261,1652,11962,22349,18235,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Meg Cabot,2002,The Boy Next Door (Boy #1),"The Boy Next Door (Boy, #1)",3.83,50953,1240,3446,14574,18696,16134,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Anonymous, N.K. Sandars",-1750,Shūtur eli sharrī,The Epic of Gilgamesh,3.63,44345,1551,5850,17627,17485,13343,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Anna Godbersen,2007,The Luxe,"The Luxe (Luxe, #1)",3.63,58717,3110,6491,16567,19363,16151,https://images.gr-assets.com/books/1323438343m/1254951.jpg
Beatrix Potter,1986,The Complete Tales of Beatrix Potter,The Complete Tales,4.36,56807,496,1339,7819,15363,32444,https://images.gr-assets.com/books/1355114621m/19330.jpg
Philip Roth,1997,American Pastoral,"American Pastoral (The American Trilogy, #1)",3.91,38017,1278,3118,8920,16458,14992,https://images.gr-assets.com/books/1203002984m/11650.jpg
Elizabeth Gilbert,2015,Big Magic: Creative Living Beyond Fear,Big Magic: Creative Living Beyond Fear,3.9,67046,3003,4868,15539,22251,26700,https://images.gr-assets.com/books/1451446242m/24453082.jpg
Jim Butcher,2014,Skin Game,"Skin Game (The Dresden Files, #15)",4.55,41512,91,290,3035,15853,32765,https://images.gr-assets.com/books/1387236318m/19486421.jpg
Anonymous,609,القرآن‎‎ [al-Qurʾān],The Qur'an / القرآن الكريم,4.34,31765,2950,2008,3702,3434,31344,https://images.gr-assets.com/books/1275263838m/646462.jpg
Gena Showalter,2008,The Darkest Night,The Darkest Night (Lords of the Underworld #1),4.09,63240,1611,3257,11686,20304,29088,https://images.gr-assets.com/books/1322237965m/476543.jpg
Neal Stephenson,2008,Anathem,Anathem,4.18,44848,1104,2115,6668,16537,23217,https://images.gr-assets.com/books/1488349209m/2845024.jpg
Barbara Kingsolver,2009,The Lacuna,The Lacuna,3.76,45671,2202,4330,10958,17977,14379,https://images.gr-assets.com/books/1480104396m/6433752.jpg
Terry Pratchett,1996,Hogfather,"Hogfather (Discworld, #20; Death, #4)",4.22,50364,195,1348,9753,21841,25696,https://images.gr-assets.com/books/1416342611m/34532.jpg
Elizabeth Berg,2000,Open House,Open House,3.68,48639,714,3699,16410,18155,10352,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Jeannette Walls,2013,The Silver Star,The Silver Star,3.68,43487,575,3208,15615,20079,8413,https://images.gr-assets.com/books/1379313690m/16130291.jpg
John Irving,1981,The Hotel New Hampshire,The Hotel New Hampshire,3.89,46220,531,2607,12869,20468,13995,https://images.gr-assets.com/books/1318013543m/11768.jpg
Laurell K. Hamilton,1994,The Laughing Corpse,"The Laughing Corpse (Anita Blake, Vampire Hunter, #2)",4.11,62189,518,2430,13679,24881,27798,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Nora Roberts,2003,"Key of Light (Key Trilogy, #1)","Key of Light (Key Trilogy, #1)",4.16,48805,476,1623,9505,16286,22400,https://images.gr-assets.com/books/1178133365m/762053.jpg
Ellen Hopkins,2008,Identical,Identical,4.34,47804,669,1611,6062,12503,28025,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Roberto Aguirre-Sacasa, Mike Perkins, Laura       Martin, Stephen King",2010,,The Stand: Soul Survivors,4.52,40626,476,659,3456,8706,27437,https://images.gr-assets.com/books/1313267746m/7746259.jpg
"Janet Evanovich, Lorelei King",2011,Smokin' Seventeen,"Smokin' Seventeen (Stephanie Plum, #17)",3.94,41932,589,3246,16376,23607,20822,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Dr. Seuss,1961,The Sneetches and Other Stories,The Sneetches and Other Stories,4.31,52954,634,1516,8024,14925,30100,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Bill Martin Jr., Eric Carle",1982,"Polar Bear, Polar Bear, What Do You Hear?","Polar Bear, Polar Bear, What Do You Hear?",4.16,44414,657,2008,8759,11646,21902,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Hermann Hesse,1919,Demian: Die Geschichte einer Jugend,Demian. Die Geschichte von Emil Sinclairs Jugend,4.1,37459,580,2061,9154,17689,20149,https://images.gr-assets.com/books/1421510580m/24861.jpg
Kurt Vonnegut Jr.,1965,"God Bless You, Mr Rosewater or Pearls before Swine","God Bless You, Mr. Rosewater",3.94,40353,203,1670,11416,19313,12810,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Yoshiki Nakamura, Tomo Kimura",2002,スキップ・ビート! 1,"Skip Beat!, Vol. 01",4.26,46708,1449,2100,6171,10054,27076,https://images.gr-assets.com/books/1173395297m/282282.jpg
Frank Miller,1986,The Dark Knight Returns,Batman: The Dark Knight Returns #1,4.21,32228,1258,1413,4088,8156,17336,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"J.K. Rowling, Mary GrandPré",1999,Harry Potter Boxed Set Books 1-4,"The Harry Potter Collection 1-4 (Harry Potter, #1-4)",4.66,43929,307,424,2346,8186,33579,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Paolo Bacigalupi,2009,The Windup Girl,The Windup Girl,3.74,41728,1859,4274,11680,19411,12835,https://images.gr-assets.com/books/1278940608m/6597651.jpg
"Oscar Wilde, Richard Allen Cave",1954,,The Importance of Being Earnest and Other Plays,4.26,41002,318,1247,7446,17276,23649,https://images.gr-assets.com/books/1260426623m/92308.jpg
Stephanie Perkins,2014,Isla and the Happily Ever After,"Isla and the Happily Ever After (Anna and the French Kiss, #3)",4.1,70995,1449,3640,13319,25409,32870,https://images.gr-assets.com/books/1362064564m/9627755.jpg
Ilona Andrews,2007,Magic Bites,"Magic Bites (Kate Daniels, #1)",4.07,69410,1699,3319,13687,25942,30596,https://images.gr-assets.com/books/1331612872m/38619.jpg
Jodi Ellen Malpas,2013,This Man Confessed,"This Man Confessed (This Man, #3)",4.43,62297,983,1743,6265,15288,40289,https://images.gr-assets.com/books/1368274129m/17255265.jpg
"Irène Némirovsky, Sandra Smith",2004,Suite française,Suite Française,3.82,40259,1143,3640,12174,19342,13670,https://images.gr-assets.com/books/1320445773m/43944.jpg
"Vincent van Gogh, Ronald de Leeuw, Mark Roskill, Arnold J. Pomerans",1914,The Letters of Vincent van Gogh,The Letters of Vincent van Gogh,3.99,48040,2279,2888,8706,13508,20987,https://images.gr-assets.com/books/1328110665m/395233.jpg
Terry Pratchett,1988,Sourcery,"Sourcery (Discworld, #5; Rincewind #3)",3.87,50746,274,2694,17272,23798,15680,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Bryan Lee O'Malley,2005,"Scott Pilgrim, Volume 2: Scott Pilgrim vs. The World","Scott Pilgrim, Volume 2: Scott Pilgrim vs. The World",4.24,47154,777,1285,6855,17149,23576,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Grant Morrison, Dave McKean",1989,Batman: Arkham Asylum - A Serious House on Serious Earth,Batman: Arkham Asylum - A Serious House on Serious Earth,4.09,45345,944,2553,8521,15210,20800,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Jenny Han,2015,P.S. I Still Love You,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",4.17,62907,616,2227,10879,25670,28495,https://images.gr-assets.com/books/1422881430m/20698530.jpg
David Baldacci,2015,Memory Man,"Memory Man (Amos Decker, #1)",4.05,36871,1182,2109,9551,23346,20244,https://images.gr-assets.com/books/1421788503m/23153154.jpg
Hillary Jordan,2008,Mudbound,Mudbound,3.99,43455,496,1774,9566,21985,14150,https://images.gr-assets.com/books/1296591096m/2138727.jpg
Mark Bowden,1999,Black Hawk Down,Black Hawk Down,4.28,40442,284,796,5828,16496,20345,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"V.E. Schwab, Victoria Schwab",2015,A Darker Shade of Magic,"A Darker Shade of Magic (Shades of Magic, #1)",4.07,61419,928,2643,12742,31219,25997,https://images.gr-assets.com/books/1400322851m/22055262.jpg
David Grann,2009,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,3.86,45937,807,2719,12589,21288,13524,https://images.gr-assets.com/books/1320487318m/3398625.jpg
Brandon Sanderson,2015,Firefight,"Firefight (The Reckoners, #2)",4.29,41924,95,622,6180,21247,22621,https://images.gr-assets.com/books/1413220816m/15704459.jpg
Trudi Canavan,2001,The Magicians' Guild,"The Magicians' Guild (Black Magician Trilogy, #1)",3.96,48537,971,2975,12241,21113,18739,https://images.gr-assets.com/books/1327356788m/28249.jpg
Michael Scott,2010,The Necromancer: The Secrets of The Immortal Nicholas Flamel,"The Necromancer  (The Secrets of the Immortal Nicholas Flamel, #4)",4.12,46878,583,1749,9419,17965,20937,https://images.gr-assets.com/books/1320460606m/6693332.jpg
Lee Child,2010,61 Hours,"61 Hours (Jack Reacher, #14)",4.08,43605,325,1459,9797,22380,17880,https://images.gr-assets.com/books/1320512665m/6977769.jpg
Patricia McCormick,2000,Cut,Cut,3.76,48239,1493,4679,13443,14140,15351,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Roald Dahl, Quentin Blake",1981,George's Marvellous Medicine,George's Marvellous Medicine,4.02,49863,603,2483,13339,19706,21422,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Jane Smiley,1991,A Thousand Acres,A Thousand Acres,3.79,47389,1265,3570,12630,18957,13087,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Lloyd Alexander,1964,The Book of Three,"The Book of Three (The Chronicles of Prydain, #1)",4,56593,1074,2364,12851,22277,20720,https://images.gr-assets.com/books/1405184012m/24780.jpg
Patricia Briggs,2008,Cry Wolf,"Cry Wolf (Alpha & Omega, #1)",4.11,66901,975,2936,13049,24190,29937,https://images.gr-assets.com/books/1310494063m/2355575.jpg
Ian Falconer,2000,Olivia,Olivia,4.13,51185,1301,2405,9226,14141,24622,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Kent Haruf,1999,Plainsong,"Plainsong (Plainsong, #1)",4,45331,594,2161,10029,19193,15965,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Daniel Clowes,1998,Ghost World,Ghost World,3.87,49105,1586,3545,11336,17888,16561,https://images.gr-assets.com/books/1327894702m/62953.jpg
Amanda Hocking,2010,Torn,"Torn (Trylle, #2)",4.04,29554,713,2811,12195,21018,22279,https://images.gr-assets.com/books/1397954544m/11966216.jpg
"Ivan Turgenev, George Reavy, Jane Costlow",1862,Отцы и дѣти,Fathers and Sons,3.94,41870,543,2559,11599,19225,15437,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Eliyahu M. Goldratt, Jeff Cox",1984,The Goal,The Goal: A Process of Ongoing Improvement,4,34837,970,2063,7257,13249,14464,https://images.gr-assets.com/books/1475538019m/113934.jpg
Geraldine Brooks,2011,Caleb's Crossing,Caleb's Crossing,3.81,47525,854,2847,13311,22119,11778,https://images.gr-assets.com/books/1303284000m/9684523.jpg
Claudia Gray,2008,Evernight,"Evernight (Evernight, #1)",3.64,63486,3402,7334,18094,19242,19064,https://images.gr-assets.com/books/1306376600m/2722413.jpg
Lee Child,2007,Bad Luck and Trouble,"Bad Luck and Trouble (Jack Reacher, #11)",4.17,42539,202,939,8065,21811,19306,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Karen Joy Fowler,2004,The Jane Austen Book Club,The Jane Austen Book Club,3.07,53128,4240,12024,21969,12944,5656,https://images.gr-assets.com/books/1309282966m/2152.jpg
Ian McEwan,2014,The Children Act,The Children Act,3.68,33100,952,3361,12715,18533,8214,https://images.gr-assets.com/books/1405290619m/21965107.jpg
Janet Evanovich,2009,Sizzling Sixteen,"Sizzling Sixteen (Stephanie Plum, #16)",3.93,55685,585,3334,16294,22899,20552,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Ashlee Vance,2015,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Elon Musk: Inventing the Future,4.25,55606,1940,1882,8573,27233,36977,https://images.gr-assets.com/books/1404411386m/22543496.jpg
James S.A. Corey,2012,Caliban's War,"Caliban's War (The Expanse, #2)",4.28,39138,105,518,5433,22704,20681,https://images.gr-assets.com/books/1407572377m/12591698.jpg
Rebecca Donovan,2012,Barely Breathing,"Barely Breathing (Breathing, #2)",4.33,53483,662,1678,7250,18797,32698,https://images.gr-assets.com/books/1347885288m/13454149.jpg
"Homer, Robert Fagles, Bernard Knox",-762,Ἰλιάς ; Ὀδύσσεια,The Iliad/The Odyssey,4.03,47825,916,2608,10439,17404,19731,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Mark Waid, Alex Ross, Elliot S. Maggin",1996,Kingdom Come,Kingdom Come,4.24,43036,926,1529,6278,13434,23141,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Henri Charrière,1969,Papillon,Papillon,4.23,39073,349,1145,6297,15869,19697,https://images.gr-assets.com/books/1327865561m/6882.jpg
Sarah Waters,1998,Tipping the Velvet,Tipping the Velvet,4,36560,1259,2297,8646,15936,17101,https://images.gr-assets.com/books/1388633460m/56373.jpg
"Chris Colfer, Brandon Dorman",2012,"The Wishing Spell (The Land of Stories, #1)","The Wishing Spell (The Land of Stories, #1)",4.21,51752,1615,2394,7814,14231,29129,https://images.gr-assets.com/books/1326920505m/11607446.jpg
David Ebershoff,2008,The 19th Wife,The 19th Wife,3.63,44921,1014,3888,16023,20874,8235,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Walter Dean Myers,1999,Monster,Monster,3.7,47533,1485,4418,13848,16267,12381,https://images.gr-assets.com/books/1404962824m/44184.jpg
George R.R. Martin,2011,,"A Song of Ice and Fire (A Song of Ice and Fire, #1-4)",4.63,28654,219,431,1953,8453,28118,https://images.gr-assets.com/books/1328046798m/9814682.jpg
Patricia Cornwell,1991,Body of Evidence,"Body of Evidence (Kay Scarpetta, #2)",4,50113,217,1341,12822,23041,16231,https://images.gr-assets.com/books/1341835877m/132336.jpg
"Brian K. Vaughan, Fiona Staples",2012,Saga #1,Saga #1,4.15,38729,2085,1897,4707,9555,20757,https://images.gr-assets.com/books/1358637990m/16148398.jpg
Sara Shepard,2007,Perfect,"Perfect (Pretty Little Liars, #3)",4.02,50922,638,2800,12529,18078,20985,https://images.gr-assets.com/books/1363681820m/1651302.jpg
Jessica Sorensen,2012,The Secret of Ella and Micha,"The Secret of Ella and Micha (The Secret, #1)",4.01,59890,1248,3360,12841,23872,24206,https://images.gr-assets.com/books/1365638597m/15717876.jpg
Kevin Hearne,2011,Hounded,"Hounded (The Iron Druid Chronicles, #1)",4.12,51086,850,2097,9272,22127,22929,https://images.gr-assets.com/books/1327883998m/9533378.jpg
Stephen King,2002,From a Buick 8,From a Buick 8,3.42,47320,2180,6822,17825,14139,9113,https://images.gr-assets.com/books/1304686732m/22076.jpg
Kim Stanley Robinson,1993,Red Mars,"Red Mars (Mars Trilogy, #1)",3.84,46121,1447,3878,11453,17472,15534,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Charlotte Perkins Gilman, Elaine Hedges",1892,The Yellow Wall-paper. A story,The Yellow Wall-Paper,4.11,44677,753,2266,9783,20098,22693,https://images.gr-assets.com/books/1351778524m/286957.jpg
"H.G. Wells, Alfred MacAdam",1968,The Time Machine and The Invisible Man,The Time Machine/The Invisible Man,4.08,47600,386,1677,9917,18120,18303,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Nora Roberts,1998,Sea Swept,"Sea Swept (Chesapeake Bay Saga, #1)",4.24,48078,379,1135,8313,16669,23604,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Brent Weeks,2012,The Blinding Knife,"The Blinding Knife (Lightbringer, #2)",4.45,42445,135,514,3637,16495,26488,https://images.gr-assets.com/books/1338432693m/12499290.jpg
Morgan Matson,2014,Since You've Been Gone,Since You've Been Gone,4.19,59705,888,2083,9489,23131,28858,https://images.gr-assets.com/books/1377702326m/18189606.jpg
Steve Martin,2010,,An Object of Beauty,3.58,42488,2252,4559,13195,13142,10617,https://images.gr-assets.com/books/1289520035m/7907803.jpg
"Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway",1969,What to Expect When You're Expecting,What to Expect When You're Expecting,3.75,34120,2049,3488,9575,12437,12542,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
John Flanagan,2005,The Icebound Land,"The Icebound Land (Ranger's Apprentice, #3)",4.22,48446,462,1389,8564,18008,24172,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Marian Keyes,2006,Anybody Out There?,"Anybody Out There? (Walsh Family, #4)",3.91,45243,1024,2565,11533,17196,15358,https://images.gr-assets.com/books/1358594290m/165030.jpg
"Peter Thiel, Blake  Masters",2014,"Zero to One: Notes on Start Ups, or How to Build the Future","Zero to One: Notes on Startups, or How to Build the Future",4.17,47807,1018,1786,8004,19845,24044,https://images.gr-assets.com/books/1414347376m/18050143.jpg
Sarah J. Maas,2016,Empire of Storms,"Empire of Storms (Throne of Glass, #5)",4.58,63322,717,1192,4416,15635,52281,https://images.gr-assets.com/books/1463107108m/28260587.jpg
"Charles Dickens, Katharine Kroeber Wiley",1843,,"A Christmas Carol, The Chimes and The Cricket on the Hearth",4.11,48557,719,2086,9426,15751,20963,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Gillian Flynn,2014,What Do You Do?,The Grownup,3.54,42536,1609,5423,18717,19533,9310,https://images.gr-assets.com/books/1441679582m/26025580.jpg
Neil Gaiman,1998,Smoke and Mirrors: Short Fiction and Illusions,Smoke and Mirrors: Short Fiction and Illusions,4.05,46486,246,1631,10927,22352,17579,https://images.gr-assets.com/books/1409595076m/16790.jpg
Amish Tripathi,2013,The Oath of the Vayuputras,"The Oath of the Vayuputras (Shiva Trilogy, #3)",3.66,35936,1056,4142,11627,13143,9659,https://images.gr-assets.com/books/1357242702m/12820793.jpg
Kurt Vonnegut Jr.,1968,Welcome to the Monkey House,Welcome to the Monkey House,4.13,40071,153,970,7970,17613,16119,https://images.gr-assets.com/books/1381107552m/4985.jpg
Jim Gaffigan,2013,Dad Is Fat,Dad Is Fat,3.76,40489,827,3199,13535,17973,11233,https://images.gr-assets.com/books/1354052742m/16141924.jpg
David McCullough,1992,Truman,Truman,4.15,53088,1869,2168,7817,17033,25817,https://images.gr-assets.com/books/1364681969m/2279.jpg
Ron Chernow,2004,Alexander Hamilton,Alexander Hamilton,4.26,46198,1034,1503,6338,17059,25620,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Dr. Seuss, Various",2003,The Cat in the Hat and Other Dr. Seuss Favorites,The Cat in the Hat and Other Dr. Seuss Favorites,4.41,46279,345,1074,6208,10530,28155,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Nikolai Gogol, Robert A. Maguire",1842,Мёртвые ду́ши,Dead Souls,3.98,40699,800,2681,10126,17055,17000,https://images.gr-assets.com/books/1387201057m/28381.jpg
Elle Kennedy,2015,The Deal,"The Deal (Off-Campus, #1)",4.3,75699,1149,1849,9049,27132,40227,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Kiera Cass,2016,The Crown,"The Crown (The Selection, #5)",3.8,64158,1953,6304,18648,22933,22693,https://images.gr-assets.com/books/1446759650m/26074181.jpg
David Baldacci,2011,Zero Day,"Zero Day (John Puller, #1)",3.99,38649,715,1862,10198,20747,15400,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Arlene Mosel, Blair Lent",1968,Tikki Tikki Tembo,Tikki Tikki Tembo,4.21,52536,856,1890,9126,14715,26574,https://images.gr-assets.com/books/1317064300m/551876.jpg
L.J. Smith,2008,"Night World, No. 1","Night World, No. 1 (Night World, #1-3)",4.04,54940,1380,3544,11281,15453,24803,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Tina Reber,2010,"Love Unscripted (Love, #1)","Love Unscripted (Love, #1)",4.04,59261,2247,3641,10316,19456,26708,https://images.gr-assets.com/books/1327889844m/8204005.jpg
James Patterson,1999,Pop Goes the Weasel,"Pop Goes the Weasel (Alex Cross, #5)",3.98,46820,270,1642,12009,20463,15063,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Penelope Douglas,2013,Bully,"Bully (Fall Away, #1)",4.15,34789,1570,3165,10980,24110,32692,https://images.gr-assets.com/books/1392309572m/20803953.jpg
Alison Weir,1980,The Six Wives of Henry VIII,The Six Wives of Henry VIII,4.1,47913,858,1471,8871,19013,19402,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Yevgeny Zamyatin, Clarence Brown",1924,Мы,We,3.95,40020,732,2786,10532,17972,15957,https://images.gr-assets.com/books/1421883730m/76171.jpg
Barbara Kingsolver,1993,Pigs in Heaven,Pigs in Heaven,3.97,43374,298,1587,10962,21098,13533,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
John Scalzi,2006,The Ghost Brigades,"The Ghost Brigades (Old Man's War, #2)",4.09,40107,141,812,8443,23499,14724,https://images.gr-assets.com/books/1403295928m/239399.jpg
Alan Paton,1948,"Cry, The Beloved Country","Cry, the Beloved Country",3.87,47389,1524,3969,11995,18837,17356,https://images.gr-assets.com/books/1344182368m/6150.jpg
"Brian Froud, Alan Lee",1978,Faeries,Faeries,3.89,38050,2564,2665,7444,9995,16125,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Gregory Maguire,1999,Confessions of an Ugly Stepsister,Confessions of an Ugly Stepsister,3.51,50526,1560,5746,18019,18101,8825,https://images.gr-assets.com/books/1338457460m/18943.jpg
Nick Hornby,2001,How to Be Good,How to Be Good,3.18,37497,2082,8007,18544,11883,4144,https://images.gr-assets.com/books/1327935893m/4268.jpg
Cassandra Clare,2016,Lady Midnight,"Lady Midnight (The Dark Artifices, #1)",4.47,84711,1511,1870,7629,22675,59574,https://images.gr-assets.com/books/1460477682m/25494343.jpg
Cornelia Funke,2007,Tintentod,"Inkdeath (Inkworld, #3)",3.93,53591,1518,4052,13029,19302,21737,https://images.gr-assets.com/books/1327341991m/2325825.jpg
Isaac Asimov,1982,Foundation's Edge,Foundation's Edge (Foundation #4),4.08,47641,244,1590,10484,21051,18497,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Thomas Hardy,1895,Jude the Obscure,Jude the Obscure,3.8,44873,2197,4053,11124,17004,15912,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
David Eddings,1982,Queen of Sorcery,"Queen of Sorcery (The Belgariad, #2)",4.13,49355,337,1605,9875,19868,21227,https://images.gr-assets.com/books/1428943169m/587582.jpg
Shirley Jackson,1949,The Lottery: Adventures of the Demon Lover,The Lottery and Other Stories,4.06,48608,666,2115,10022,19192,19506,https://images.gr-assets.com/books/1416448200m/89723.jpg
Margaret Peterson Haddix,2010,,"Into the Gauntlet (The 39 Clues, #10)",3.99,48461,2194,3164,9290,12534,21736,https://images.gr-assets.com/books/1357211070m/7182899.jpg
Aprilynne Pike,2009,Wings,"Wings (Wings, #1)",3.75,62566,2881,6122,16543,19767,20936,https://images.gr-assets.com/books/1327983077m/5056084.jpg
Cecily von Ziegesar,2002,Gossip Girl,"Gossip Girl (Gossip Girl, #1)",3.51,49670,3166,6824,15756,12851,13370,https://images.gr-assets.com/books/1398814332m/22188.jpg
Frederick Forsyth,1972,The Odessa File,The Odessa File,4.1,42529,167,941,8734,18634,15556,https://images.gr-assets.com/books/1348786945m/149572.jpg
Elizabeth Strout,2013,The Burgess Boys,The Burgess Boys,3.54,39445,1323,4552,14797,17197,7181,https://images.gr-assets.com/books/1351213545m/15823461.jpg
Yuval Noah Harari,2011,קיצור תולדות האנושות‎‎,Sapiens: A Brief History of Humankind,4.41,52846,996,1627,6468,19971,42012,https://images.gr-assets.com/books/1420585954m/23692271.jpg
"Chelsea Handler, Johnny Kansas, Stephanie Stehling, Heather McDonald, Roy Handler, Brad Wollack, Amber Mazzola, Josh Wolf, Shoshanna Handler, Eva Magdalenski, Amy Meyer, Glen Handler, Dave Mallow, Sarah Colonna",2011,,Lies That Chelsea Handler Told Me,3.74,37936,1509,3921,10998,12612,12489,https://images.gr-assets.com/books/1344264536m/9902804.jpg
Tana French,2012,Broken Harbor,"Broken Harbour (Dublin Murder Squad, #4)",3.92,36704,573,2100,11404,22954,13460,https://images.gr-assets.com/books/1336120776m/10805160.jpg
M. Leighton,2013,Down to You,"Down to You (The Bad Boys, #1)",4.05,59221,1078,2904,11881,22630,23974,https://images.gr-assets.com/books/1347544660m/16001893.jpg
William Shakespeare,1623,The Complete Works,The Complete Works,4.49,39503,448,695,4279,10908,29680,https://images.gr-assets.com/books/1327884293m/569564.jpg
Ursula K. Le Guin,1974,The Dispossessed,The Dispossessed,4.18,46660,720,2058,8107,18305,24056,https://images.gr-assets.com/books/1353467455m/13651.jpg
"Henning Mankell, Steven T. Murray",1991,Mördare utan ansikte,"Faceless Killers (Kurt Wallander, #1)",3.78,43861,1030,3054,13488,20301,11685,https://images.gr-assets.com/books/1487941867m/935308.jpg
John Grisham,2010,The Confession,The Confession,3.81,41389,676,2946,13641,20684,11987,https://images.gr-assets.com/books/1320541779m/7933437.jpg
